término,categoría,definición,contexto,ejemplo,módulo_relacionado,palabras_clave
Transacción,Términos Financieros Básicos,Movimiento de dinero entre cuentas o actores financieros.,Se usa para analizar operaciones en los módulos de fraude y riesgo.,Transferencia de 500 USD entre dos cuentas.,02_Analisis_Financiero,movimiento;dinero;operación;pago
Saldo,Términos Financieros Básicos,Cantidad disponible en una cuenta en un momento dado.,Permite validar capacidad financiera y detectar inconsistencias.,Cuenta con saldo inicial de 1200 USD.,02_Analisis_Financiero,cuenta;balance;disponible;fondos
Monto,Términos Financieros Básicos,Valor monetario de una transacción específica.,Es variable clave para reglas de alertamiento y métricas.,Compra por 89.90 USD en comercio digital.,02_Analisis_Financiero,valor;importe;cantidad;transacción
Depósito,Términos Financieros Básicos,Ingreso de fondos en una cuenta bancaria o billetera.,Se monitorea para identificar patrones atípicos de entrada de dinero.,Depósito en efectivo de 3000 USD.,02_Analisis_Financiero,abono;ingreso;efectivo;cuenta
Retiro,Términos Financieros Básicos,Salida de dinero desde una cuenta.,Ayuda a medir fuga de liquidez y comportamiento de riesgo.,Retiro en cajero por 250 USD.,02_Analisis_Financiero,extracción;egreso;cajero;dinero
Cuenta bancaria,Términos Financieros Básicos,Producto financiero donde se registran movimientos y saldos de un cliente.,Es la entidad central para relacionar eventos y transacciones.,Cuenta corriente usada para pagos diarios.,02_Analisis_Financiero,cuenta;cliente;producto;movimientos
Cliente,Términos Financieros Básicos,Persona o empresa titular de productos financieros.,Su perfil se usa en KYC y en detección de comportamiento.,Cliente con historial de pagos puntuales.,04_AML_Compliance,usuario;titular;perfil;riesgo
Volatilidad,Términos Financieros Básicos,Grado de variación de un valor en el tiempo.,Permite identificar inestabilidad en montos o frecuencias.,Montos diarios con cambios bruscos en una semana.,02_Analisis_Financiero,variación;riesgo;inestabilidad;serie
Flujo de efectivo,Términos Financieros Básicos,Entradas y salidas de dinero de una cuenta o negocio.,Se usa para evaluar sostenibilidad y posibles desbalances.,Más retiros que depósitos durante un mes.,02_Analisis_Financiero,cashflow;entradas;salidas;liquidez
Indicador financiero,Términos Financieros Básicos,Métrica que resume desempeño o riesgo financiero.,Se calcula en análisis para apoyar decisiones.,Índice de transacciones rechazadas por semana.,02_Analisis_Financiero,métrica;ratio;desempeño;análisis
Activo,Términos Financieros Básicos,Recurso con valor económico que posee una persona o entidad.,Ayuda a contextualizar capacidad económica del cliente.,Saldo en inversiones de bajo riesgo.,02_Analisis_Financiero,bien;recurso;valor;patrimonio
Pasivo,Términos Financieros Básicos,Obligación financiera pendiente de pago.,Se considera en perfilamiento de riesgo financiero.,Préstamo personal con cuotas mensuales.,02_Analisis_Financiero,deuda;obligación;crédito;pago
Liquidez,Términos Financieros Básicos,Facilidad para convertir activos en efectivo.,Importa para evaluar respuesta ante movimientos inusuales.,Fondo disponible para cubrir pagos inmediatos.,02_Analisis_Financiero,efectivo;disponibilidad;solvencia;tesorería
Rentabilidad,Términos Financieros Básicos,Capacidad de generar ganancias sobre una inversión.,Se usa para medir desempeño en casos de estudio.,Retorno anual de 8% en cartera simulada.,05_Proyectos_Integradores,retorno;ganancia;inversión;ROI
Riesgo crediticio,Términos Financieros Básicos,Probabilidad de incumplimiento en obligaciones de crédito.,Se cruza con señales de fraude y AML en análisis integral.,Cliente con mora repetida en pagos.,05_Proyectos_Integradores,crédito;incumplimiento;default;riesgo
Fraude,Términos de Fraude,Acción deliberada para obtener beneficio financiero ilícito.,Es el objetivo principal de detección en el módulo 03.,Uso de cuenta comprometida para compras no autorizadas.,03_Deteccion_Fraude,engaño;delito;riesgo;prevención
Heurística,Términos de Fraude,Regla práctica basada en experiencia para detectar eventos sospechosos.,Se usa cuando no hay modelo complejo disponible.,Marcar transacciones nocturnas de alto monto.,03_Deteccion_Fraude,regla;criterio;detección;rápida
Anomalía,Términos de Fraude,Dato o comportamiento que se desvía del patrón esperado.,Permite priorizar revisiones en monitoreo continuo.,Compra internacional atípica para el cliente.,03_Deteccion_Fraude,outlier;desviación;alerta;patrón
Patrón sospechoso,Términos de Fraude,Secuencia de eventos con señales de posible fraude.,Se construye combinando reglas y contexto histórico.,Múltiples intentos fallidos y luego transacción exitosa alta.,03_Deteccion_Fraude,secuencia;señal;alerta;comportamiento
Regla de detección,Términos de Fraude,Condición lógica que activa una alerta de riesgo.,Base de sistemas de monitoreo transaccional iniciales.,"Si monto > 5000 y país nuevo, generar alerta.",03_Deteccion_Fraude,if;umbral;alerta;motor
Velocidad de transacciones,Términos de Fraude,Número de transacciones en una ventana de tiempo definida.,Detecta automatización o actividad no habitual.,10 transferencias en 2 minutos.,03_Deteccion_Fraude,frecuencia;ventana;rate;volumen
Cambio de ubicación geográfica,Términos de Fraude,Variación abrupta de ubicación entre transacciones consecutivas.,Se usa para identificar imposibilidad física de actividad legítima.,Pago en México y minutos después en Japón.,03_Deteccion_Fraude,geolocalización;ubicación;distancia;riesgo
Perfil de comportamiento,Términos de Fraude,Resumen de hábitos normales de un cliente.,Sirve como referencia para hallar desviaciones.,Cliente suele operar solo en horario laboral.,03_Deteccion_Fraude,histórico;hábitos;baseline;usuario
Desviación estándar,Términos de Fraude,Medida de dispersión respecto a la media.,Ayuda a definir umbrales estadísticos de alerta.,Montos fuera de 2 desviaciones estándar.,03_Deteccion_Fraude,dispersión;estadística;umbral;sigma
Baseline,Términos de Fraude,Nivel base esperado de comportamiento para comparación.,Es referencia para marcar eventos anómalos.,Promedio semanal de 3 transacciones por día.,03_Deteccion_Fraude,línea base;referencia;normalidad;comparación
AML (Anti-Lavado de Dinero),Términos AML/Compliance,Conjunto de prácticas para prevenir lavado de activos y financiamiento ilícito.,Marco central del módulo de cumplimiento normativo.,Monitoreo de operaciones para reportar actividad sospechosa.,04_AML_Compliance,lavado;dinero;prevención;regulación
KYC (Know Your Customer),Términos AML/Compliance,Proceso para verificar identidad y perfil de riesgo del cliente.,Se aplica al alta y actualización de clientes.,"Validación de documento, dirección y actividad económica.",04_AML_Compliance,identidad;onboarding;verificación;cliente
Due Diligence,Términos AML/Compliance,Evaluación de riesgo con revisión documental y contextual.,Se usa en clientes de riesgo medio o alto.,Análisis reforzado para cliente con operaciones internacionales.,04_AML_Compliance,diligencia;revisión;riesgo;control
SAR (Suspicious Activity Report),Términos AML/Compliance,Reporte formal de actividad sospechosa a autoridad competente.,Resultado de investigación interna de alertas AML.,Emisión de SAR tras detectar estructuración de depósitos.,04_AML_Compliance,reporte;sospecha;autoridad;alerta
PEP (Persona Políticamente Expuesta),Términos AML/Compliance,Persona con función pública relevante y mayor riesgo inherente.,Requiere controles reforzados y seguimiento continuo.,Cliente identificado como ex funcionario de alto nivel.,04_AML_Compliance,pep;riesgo alto;sector público;control
Watchlist,Términos AML/Compliance,Lista de personas o entidades sujetas a vigilancia o sanción.,Se consulta en procesos de screening automático.,Coincidencia parcial de nombre con lista OFAC.,04_AML_Compliance,lista;sanciones;alerta;screening
Screening,Términos AML/Compliance,Comparación de clientes y transacciones contra listas de riesgo.,Paso crítico previo a aprobación de operaciones.,Evaluar beneficiario contra listas internacionales.,04_AML_Compliance,filtro;coincidencia;listas;control
FATF (Financial Action Task Force),Términos AML/Compliance,Organismo internacional que emite estándares AML/CFT.,Guía recomendaciones aplicadas en políticas de compliance.,Alinear controles internos con recomendaciones FATF.,04_AML_Compliance,fatf;gafi;estándares;internacional
Compliance,Términos AML/Compliance,Cumplimiento de normativas internas y externas aplicables.,Marco transversal para procesos y reportes regulatorios.,Revisión periódica de políticas y controles.,04_AML_Compliance,cumplimiento;normativa;control;gobierno
